Application Name,Date,Customer Initiated Transactions_Volume (Mn),Customer Initiated Transactions_Value (Cr),B2C Transactions_Volume (Mn),B2C Transactions_Value (Cr),B2B Transactions_Volume (Mn),B2B Transactions_Value (Cr),On0us Transactions_Volume (Mn),On0us Transactions_Value (Cr),Total_Volume (Mn),Total_Value (Cr),year,Month,Avg_Transaction_Value,average_transaction,Year
AIRTEL PAYMENTS BANK APPS,2022-01-01,8.53,2047.45,0.0,0.0,0.0,0.0,4.69,2682.32,13.22,4729.77,2022,2022-01,357.77382753403936,357.77382753403936,2022
ALLAHABAD BANK APP,2022-01-01,0.02,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02,7.36,2022,2022-01,368.0,368.0,2022
AMAZON PAY,2022-01-01,73.5,6729.66,0.0,0.0,0.0,0.0,0.0,0.0,73.5,6729.66,2022,2022-01,91.56,91.56,2022
AU SMALL FINANCE BANK APPS,2022-01-01,0.23,81.15,0.0,0.0,0.0,0.0,0.0,0.0,0.23,81.15,2022,2022-01,352.82608695652175,352.82608695652175,2022
AXIS BANK APPS,2022-01-01,6.78,1058.77,40.47,34.25,0.0,0.0,0.0,0.0,47.25,1093.02,2022,2022-01,23.132698412698414,23.132698412698414,2022
BAJAJ FINSERV,2022-01-01,0.24,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.24,12.88,2022,2022-01,53.66666666666667,53.66666666666667,2022
BANK OF BARODA APPS,2022-01-01,0.71,342.85,0.0,0.0,0.0,0.0,0.0,0.0,0.71,342.85,2022,2022-01,482.887323943662,482.887323943662,2022
BANK OF INDIA APP,2022-01-01,0.05,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.05,20.23,2022,2022-01,404.59999999999997,404.59999999999997,2022
BANK OF MAHARASHTRA APPS,2022-01-01,0.05,12.46,0.0,0.0,0.0,0.0,0.0,0.0,0.05,12.46,2022,2022-01,249.20000000000002,249.20000000000002,2022
BHIM,2022-01-01,25.82,8511.91,0.0,0.0,0.0,0.0,0.0,0.0,25.82,8511.91,2022,2022-01,329.6634391944229,329.6634391944229,2022
CANARA BANK APPS,2022-01-01,0.26,98.95,0.0,0.0,0.0,0.0,0.0,0.0,0.26,98.95,2022,2022-01,380.5769230769231,380.5769230769231,2022
CENTRAL BANK OF INDIA APPS,2022-01-01,0.13,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.13,47.33,2022,2022-01,364.07692307692304,364.07692307692304,2022
CITI BANK APPS,2022-01-01,0.09,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.09,77.8,2022,2022-01,864.4444444444445,864.4444444444445,2022
CITY UNION BANK APPS,2022-01-01,0.02,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.92,2022,2022-01,246.0,246.0,2022
COINTAB,2022-01-01,1.21,179.22,0.0,0.0,0.0,0.0,0.0,0.0,1.21,179.22,2022,2022-01,148.11570247933884,148.11570247933884,2022
CRED,2022-01-01,10.68,14189.86,0.0,0.0,0.0,0.0,0.0,0.0,10.68,14189.86,2022,2022-01,1328.6385767790264,1328.6385767790264,2022
DBS DIGIBANK APPS,2022-01-01,0.51,186.79,0.0,0.0,0.0,0.0,0.0,0.0,0.51,186.79,2022,2022-01,366.2549019607843,366.2549019607843,2022
DENA BANK APP,2022-01-01,0.02,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,26.5,2022,2022-01,1325.0,1325.0,2022
DEUTSCHE BANK APPS,2022-01-01,0.92,61.95,0.0,0.0,0.0,0.13,0.0,0.0,0.92,62.08,2022,2022-01,67.47826086956522,67.47826086956522,2022
DHANLAXMI BANK APPS,2022-01-01,0.01,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.95,2022,2022-01,295.0,295.0,2022
FEDERAL BANK APPS,2022-01-01,0.54,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.54,109.25,2022,2022-01,202.3148148148148,202.3148148148148,2022
FINO PAYMENTS BANK APPS,2022-01-01,0.03,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.79,2022,2022-01,93.0,93.0,2022
FINSHELL PAY,2022-01-01,0.07,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.07,3.69,2022,2022-01,52.71428571428571,52.71428571428571,2022
GOOGLE PAY,2022-01-01,1584.2,298267.07,0.0,0.0,0.0,0.0,0.0,0.0,1584.2,298267.07,2022,2022-01,188.27614568867568,188.27614568867568,2022
HDFC BANK APPS,2022-01-01,4.94,1366.89,0.0,0.0,0.0,0.0,0.0,0.0,4.94,1366.89,2022,2022-01,276.69838056680163,276.69838056680163,2022
HSBC BANK APP,2022-01-01,0.08,54.47,0.0,0.09,0.0,0.0,0.0,0.0,0.08,54.57,2022,2022-01,682.125,682.125,2022
ICICI BANK APPS,2022-01-01,29.87,8491.18,3.57,215.87,0.0,0.0,0.0,0.0,33.43,8707.05,2022,2022-01,260.45617708644926,260.45617708644926,2022
IDBI BANK APPS,2022-01-01,0.02,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.02,12.54,2022,2022-01,627.0,627.0,2022
IDFC BANK APPS,2022-01-01,1.22,316.37,0.0,0.0,0.0,0.0,0.0,0.0,1.22,316.37,2022,2022-01,259.31967213114757,259.31967213114757,2022
INDIA POST PAYMENTS BANK APPS,2022-01-01,2.65,309.42,0.0,0.0,0.0,0.0,0.0,0.0,2.65,309.42,2022,2022-01,116.76226415094341,116.76226415094341,2022
INDIAN BANK APPS,2022-01-01,0.13,47.42,0.0,0.0,0.0,0.0,0.0,0.0,0.13,47.42,2022,2022-01,364.7692307692308,364.7692307692308,2022
INDUSIND BANK APPS,2022-01-01,0.74,1218.79,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1218.79,2022,2022-01,1647.0135135135135,1647.0135135135135,2022
JAMMU AND KASHMIR BANK APPS,2022-01-01,0.01,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.47,2022,2022-01,247.00000000000003,247.00000000000003,2022
JANATA SAHAKARI BANK APPS,2022-01-01,0.01,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.46,2022,2022-01,446.0,446.0,2022
JIO PAYMENTS BANK APPS,2022-01-01,2.05,114.39,0.0,0.0,0.0,0.0,0.0,0.0,2.05,114.39,2022,2022-01,55.800000000000004,55.800000000000004,2022
JUPITER MONEY,2022-01-01,1.02,156.15,0.0,0.0,0.0,0.0,0.0,0.0,1.02,156.15,2022,2022-01,153.08823529411765,153.08823529411765,2022
KARNATAKA BANK APPS,2022-01-01,0.25,31.19,0.0,0.0,0.0,0.0,0.0,0.0,0.25,31.19,2022,2022-01,124.76,124.76,2022
KARUR VYSYA BANK APPS,2022-01-01,0.04,17.37,0.0,0.0,0.0,0.0,0.0,0.0,0.04,17.37,2022,2022-01,434.25,434.25,2022
KOTAK MAHINDRA BANK APPS,2022-01-01,6.88,1333.06,0.0,0.0,0.0,0.0,0.0,0.0,6.88,1333.06,2022,2022-01,193.75872093023256,193.75872093023256,2022
MAKEMY TRIP,2022-01-01,0.06,19.63,0.0,0.0,0.0,0.0,0.0,0.0,0.06,19.63,2022,2022-01,327.1666666666667,327.1666666666667,2022
MI PAY,2022-01-01,0.27,40.51,0.0,0.0,0.0,0.0,0.0,0.0,0.27,40.51,2022,2022-01,150.037037037037,150.037037037037,2022
MOBIKWIK,2022-01-01,3.87,886.55,0.0,0.0,0.0,0.0,0.0,0.0,3.87,886.55,2022,2022-01,229.08268733850127,229.08268733850127,2022
NSDL PAYMENTS BANK APPS,2022-01-01,0.02,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.45,2022,2022-01,72.5,72.5,2022
OTHERS,2022-01-01,0.02,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,9.08,2022,2022-01,454.0,454.0,2022
PAYTM PAYMENTS BANK APP,2022-01-01,615.9,70892.01,8.0,13.36,0.0,0.0,86.38,14220.6,710.28,85125.97,2022,2022-01,119.84846820972011,119.84846820972011,2022
PHONEPE,2022-01-01,2140.28,405173.78,0.0,0.0,0.0,0.0,0.0,0.0,2140.28,405173.78,2022,2022-01,189.3087726839479,189.3087726839479,2022
PUNJAB NATIONAL BANK APPS,2022-01-01,0.09,44.86,0.0,0.0,0.0,0.0,0.0,0.0,0.09,44.86,2022,2022-01,498.44444444444446,498.44444444444446,2022
PUNJAB SINDH BANK APP,2022-01-01,0.01,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.87,2022,2022-01,287.0,287.0,2022
RBL BANK APPS,2022-01-01,0.42,101.45,0.0,0.0,0.01,0.0,0.0,0.0,0.43,101.45,2022,2022-01,235.93023255813955,235.93023255813955,2022
SAMSUNG PAY,2022-01-01,3.17,431.07,0.0,0.0,0.0,0.0,0.0,0.0,3.17,431.07,2022,2022-01,135.98422712933754,135.98422712933754,2022
SOUTH INDIAN BANK APPS,2022-01-01,0.13,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.13,41.4,2022,2022-01,318.46153846153845,318.46153846153845,2022
STANDARD CHARTERED BANK APPS,2022-01-01,0.11,60.49,0.0,0.0,0.0,0.0,0.0,0.0,0.11,60.49,2022,2022-01,549.9090909090909,549.9090909090909,2022
STATE BANK OF INDIA APPS,2022-01-01,3.62,1967.04,0.0,0.0,0.0,0.01,0.0,0.0,3.62,1967.05,2022,2022-01,543.3839779005525,543.3839779005525,2022
UCO BANK APP,2022-01-01,0.16,37.26,0.0,0.0,0.0,0.0,0.0,0.0,0.16,37.26,2022,2022-01,232.87499999999997,232.87499999999997,2022
ULTRACASH,2022-01-01,2.14,177.63,0.0,0.0,0.0,0.0,0.0,0.0,2.14,177.63,2022,2022-01,83.00467289719626,83.00467289719626,2022
UNION BANK APPS,2022-01-01,0.39,182.27,0.0,0.0,0.0,0.0,0.0,0.0,0.39,182.27,2022,2022-01,467.35897435897436,467.35897435897436,2022
WHATSAPP,2022-01-01,2.34,205.83,0.0,0.0,0.0,0.0,0.0,0.0,2.34,205.83,2022,2022-01,87.96153846153847,87.96153846153847,2022
YES BANK APPS,2022-01-01,27.24,5816.96,0.35,0.2,0.0,0.0,0.0,0.0,27.59,5817.16,2022,2022-01,210.8430590793766,210.8430590793766,2022
YUVAPAY,2022-01-01,0.05,77.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05,77.12,2022,2022-01,1542.4,1542.4,2022
AIRTEL PAYMENTS BANK APPS,2022-02-01,5.8,1199.46,0.0,0.0,0.0,0.0,1.77,1010.71,7.58,2210.17,2022,2022-02,291.5791556728232,291.5791556728232,2022
ALLAHABAD BANK APPS,2022-02-01,0.02,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.02,6.28,2022,2022-02,314.0,314.0,2022
AMAZON PAY,2022-02-01,63.49,6044.47,0.0,0.0,0.0,0.0,0.0,0.0,63.49,6044.47,2022,2022-02,95.20349661363994,95.20349661363994,2022
AU SMALL FINANCE BANK APPS,2022-02-01,0.25,89.36,0.0,0.0,0.0,0.0,0.0,0.0,0.25,89.36,2022,2022-02,357.44,357.44,2022
AXIS BANK APPS,2022-02-01,6.9,1366.34,47.88,38.91,0.0,0.0,0.0,0.0,54.78,1405.26,2022,2022-02,25.652792990142387,25.652792990142387,2022
BAJAJ FINSERV,2022-02-01,0.33,19.32,0.0,0.0,0.0,0.0,0.0,0.0,0.33,19.32,2022,2022-02,58.54545454545455,58.54545454545455,2022
BANK OF BARODA APPS,2022-02-01,0.67,330.69,0.0,0.0,0.0,0.0,0.0,0.0,0.67,330.69,2022,2022-02,493.56716417910445,493.56716417910445,2022
BANK OF INDIA APP,2022-02-01,0.05,21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.05,21.28,2022,2022-02,425.6,425.6,2022
BANK OF MAHARASHTRA APPS,2022-02-01,0.05,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.05,12.49,2022,2022-02,249.79999999999998,249.79999999999998,2022
BHIM,2022-02-01,23.25,7891.86,0.0,0.0,0.0,0.0,0.0,0.0,23.25,7891.86,2022,2022-02,339.4348387096774,339.4348387096774,2022
CANARA BANK APPS,2022-02-01,0.26,95.78,0.0,0.0,0.0,0.0,0.0,0.0,0.26,95.78,2022,2022-02,368.38461538461536,368.38461538461536,2022
CENTRAL BANK OF INDIA APPS,2022-02-01,0.12,45.26,0.0,0.0,0.0,0.0,0.0,0.0,0.12,45.26,2022,2022-02,377.1666666666667,377.1666666666667,2022
CITI BANK APPS,2022-02-01,0.08,69.22,0.0,0.0,0.0,0.0,0.0,0.0,0.08,69.22,2022,2022-02,865.25,865.25,2022
CITY UNION BANK APPS,2022-02-01,0.02,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.49,2022,2022-02,274.5,274.5,2022
COINTAB,2022-02-01,1.73,280.57,0.0,0.0,0.0,0.0,0.0,0.0,1.73,280.57,2022,2022-02,162.17919075144508,162.17919075144508,2022
CRED,2022-02-01,10.08,13364.09,0.0,0.0,0.0,0.0,0.0,0.0,10.08,13364.09,2022,2022-02,1325.8025793650793,1325.8025793650793,2022
DBS DIGIBANK APPS,2022-02-01,0.46,173.63,0.0,0.0,0.0,0.0,0.0,0.0,0.46,173.63,2022,2022-02,377.4565217391304,377.4565217391304,2022
DENA BANK APP,2022-02-01,0.02,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.02,23.93,2022,2022-02,1196.5,1196.5,2022
DEUTSCHE BANK APPS,2022-02-01,0.87,70.43,0.0,0.0,0.0,0.0,0.0,0.0,0.87,70.43,2022,2022-02,80.95402298850576,80.95402298850576,2022
DHANLAXMI BANK APPS,2022-02-01,0.01,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.83,2022,2022-02,283.0,283.0,2022
FEDERAL BANK APPS,2022-02-01,0.55,108.21,0.0,0.0,0.0,0.0,0.0,0.0,0.55,108.21,2022,2022-02,196.74545454545452,196.74545454545452,2022
FINO PAYMENTS BANK APPS,2022-02-01,0.03,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.25,2022,2022-02,108.33333333333334,108.33333333333334,2022
FINSHELL PAY,2022-02-01,0.06,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,3.8,2022,2022-02,63.333333333333336,63.333333333333336,2022
GOOGLE PAY,2022-02-01,1524.09,584688.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.09,584688.0,2022,2022-02,383.63088793968865,383.63088793968865,2022
HDFC BANK APPS,2022-02-01,4.59,1370.03,0.0,0.0,0.0,0.0,0.0,0.0,4.59,837580.0,2022,2022-02,182479.30283224402,182479.30283224402,2022
HSBC BANK APP,2022-02-01,0.08,52.94,0.0,0.04,0.0,0.0,0.0,0.0,0.08,580253.0,2022,2022-02,7253162.5,7253162.5,2022
ICICI BANK APPS,2022-02-01,27.39,8537.11,3.27,190.34,0.0,0.0,0.0,0.0,30.66,850254.0,2022,2022-02,27731.702544031312,27731.702544031312,2022
IDBI BANK APPS,2022-02-01,0.02,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,14.6,2022,2022-02,730.0,730.0,2022
IDFC BANK APPS,2022-02-01,1.21,321.93,0.0,0.0,0.0,0.0,0.0,0.0,1.21,321.93,2022,2022-02,266.05785123966945,266.05785123966945,2022
INDIA POST PAYMENTS BANK APPS,2022-02-01,2.21,268.9,0.0,0.0,0.0,0.0,0.0,0.0,2.21,268.9,2022,2022-02,121.67420814479637,121.67420814479637,2022
INDIAN BANK APPS,2022-02-01,0.11,42.07,0.0,0.0,0.0,0.0,0.0,0.0,0.11,42.07,2022,2022-02,382.45454545454544,382.45454545454544,2022
INDUSIND BANK APPS,2022-02-01,0.77,1358.24,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1358.24,2022,2022-02,1763.948051948052,1763.948051948052,2022
JAMMU AND KASHMIR BANK APPS,2022-02-01,0.01,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.43,2022,2022-02,343.0,343.0,2022
JANATA SAHAKARI BANK APPS,2022-02-01,0.01,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.33,2022,2022-02,433.0,433.0,2022
JIO PAYMENTS BANK APPS,2022-02-01,1.97,111.85,0.0,0.0,0.0,0.0,0.0,0.0,1.97,111.85,2022,2022-02,56.77664974619289,56.77664974619289,2022
JUPITER MONEY,2022-02-01,1.13,140.79,0.0,0.0,0.0,0.0,0.0,0.0,1.13,140.79,2022,2022-02,124.59292035398231,124.59292035398231,2022
KARNATAKA BANK APPS,2022-02-01,0.25,31.35,0.0,0.0,0.0,0.0,0.0,0.0,0.25,31.35,2022,2022-02,125.4,125.4,2022
KARUR VYSYA BANK APPS,2022-02-01,0.04,17.17,0.0,0.0,0.0,0.0,0.0,0.0,0.04,17.17,2022,2022-02,429.25000000000006,429.25000000000006,2022
KOTAK MAHINDRA BANK APPS,2022-02-01,6.91,1383.3,0.0,0.0,0.0,0.0,0.0,0.0,6.91,1383.3,2022,2022-02,200.18813314037627,200.18813314037627,2022
MAKEMY TRIP,2022-02-01,0.08,33.03,0.0,0.0,0.0,0.0,0.0,0.0,0.08,33.03,2022,2022-02,412.875,412.875,2022
MI PAY,2022-02-01,0.25,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.25,38.46,2022,2022-02,153.84,153.84,2022
MOBIKWIK,2022-02-01,3.78,755.89,0.0,0.0,0.0,0.0,0.0,0.0,3.78,755.89,2022,2022-02,199.97089947089947,199.97089947089947,2022
NSDL PAYMENTS BANK APPS,2022-02-01,0.02,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.77,2022,2022-02,88.5,88.5,2022
OTHERS,2022-02-01,0.02,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.15,2022,2022-02,407.5,407.5,2022
PAYTM PAYMENTS BANK APP,2022-02-01,613.77,72204.32,8.48,18.96,0.0,0.0,84.52,14075.94,706.77,86299.22,2022,2022-02,122.10368295202117,122.10368295202117,2022
PHONEPE,2022-02-01,2120.2,837580.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.2,837580.0,2022,2022-02,395.0476370153759,395.0476370153759,2022
PUNJAB NATIONAL BANK APPS,2022-02-01,0.08,43.49,0.0,0.0,0.0,0.0,0.0,0.0,0.08,43.49,2022,2022-02,543.625,543.625,2022
PUNJAB SINDH BANK APP,2022-02-01,0.01,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.66,2022,2022-02,266.0,266.0,2022
RBL BANK APPS,2022-02-01,0.51,107.25,0.0,0.0,0.0,0.0,0.0,0.0,0.51,107.25,2022,2022-02,210.2941176470588,210.2941176470588,2022
SAMSUNG PAY,2022-02-01,3.14,421.97,0.0,0.0,0.0,0.0,0.0,0.0,3.14,421.97,2022,2022-02,134.38535031847135,134.38535031847135,2022
SOUTH INDIAN BANK APPS,2022-02-01,0.12,38.69,0.0,0.0,0.0,0.0,0.0,0.0,0.12,38.69,2022,2022-02,322.4166666666667,322.4166666666667,2022
STANDARD CHARTERED BANK APPS,2022-02-01,0.12,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.12,64.7,2022,2022-02,539.1666666666667,539.1666666666667,2022
STATE BANK OF INDIA APPS,2022-02-01,3.38,1863.42,0.0,0.0,0.0,0.0,0.0,0.0,3.38,1863.42,2022,2022-02,551.3076923076924,551.3076923076924,2022
UCO BANK APP,2022-02-01,0.16,35.05,0.0,0.0,0.0,0.0,0.0,0.0,0.16,35.05,2022,2022-02,219.06249999999997,219.06249999999997,2022
ULTRACASH,2022-02-01,1.51,158.7,0.0,0.0,0.0,0.0,0.0,0.0,1.51,158.7,2022,2022-02,105.09933774834437,105.09933774834437,2022
UNION BANK APPS,2022-02-01,0.35,166.72,0.0,0.0,0.0,0.0,0.0,0.0,0.35,166.72,2022,2022-02,476.34285714285716,476.34285714285716,2022
UTKARSH SMALL FINANCE BANK APPS,2022-02-01,0.01,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.42,2022,2022-02,242.0,242.0,2022
WHATSAPP,2022-02-01,2.24,207.09,0.0,0.0,0.0,0.0,0.0,0.0,2.24,207.09,2022,2022-02,92.45089285714285,92.45089285714285,2022
YES BANK APPS,2022-02-01,31.99,6551.55,0.19,0.06,0.0,0.0,0.0,0.0,32.17,6551.61,2022,2022-02,203.65589058128688,203.65589058128688,2022
YUVAPAY,2022-02-01,0.05,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.05,89.7,2022,2022-02,1794.0,1794.0,2022
AIRTEL PAYMENTS BANK APPS,2022-03-01,8.33,1934.41,0.0,0.0,0.0,0.0,4.82,2557.85,13.16,4492.25,2022,2022-03,341.3563829787234,341.3563829787234,2022
ALLAHABAD BANK APPS,2022-03-01,0.02,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02,6.15,2022,2022-03,307.5,307.5,2022
AMAZON PAY,2022-03-01,76.34,6894.78,0.0,0.0,0.0,0.0,0.0,0.0,76.34,6894.78,2022,2022-03,90.31674089599161,90.31674089599161,2022
AU SMALL FINANCE BANK APPS,2022-03-01,0.29,104.48,0.0,0.0,0.0,0.0,0.0,0.0,0.29,104.48,2022,2022-03,360.2758620689656,360.2758620689656,2022
AXIS BANK APPS,2022-03-01,7.09,1045.13,54.21,39.81,0.0,0.0,0.0,0.0,61.29,1084.94,2022,2022-03,17.7017457986621,17.7017457986621,2022
BAJAJ FINSERV,2022-03-01,0.35,24.08,0.0,0.0,0.0,0.0,0.0,0.0,0.35,24.08,2022,2022-03,68.8,68.8,2022
BANK OF BARODA APPS,2022-03-01,0.69,328.61,0.0,0.0,0.0,0.0,0.0,0.0,0.69,328.61,2022,2022-03,476.24637681159425,476.24637681159425,2022
BANK OF INDIA APPS,2022-03-01,0.08,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.08,26.22,2022,2022-03,327.75,327.75,2022
BANK OF MAHARASHTRA APPS,2022-03-01,0.05,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,15.0,2022,2022-03,300.0,300.0,2022
BHIM,2022-03-01,24.88,8050.24,0.0,0.0,0.0,0.0,0.0,0.0,24.88,8050.24,2022,2022-03,323.5627009646302,323.5627009646302,2022
CANARA BANK APPS,2022-03-01,0.31,109.68,0.0,0.0,0.0,0.0,0.0,0.0,0.31,109.68,2022,2022-03,353.80645161290323,353.80645161290323,2022
CENTRAL BANK OF INDIA APPS,2022-03-01,0.14,50.67,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.67,2022,2022-03,361.9285714285714,361.9285714285714,2022
CITI BANK APPS,2022-03-01,0.11,68.41,0.0,0.0,0.0,0.0,0.0,0.0,0.11,68.41,2022,2022-03,621.9090909090909,621.9090909090909,2022
CITY UNION BANK APPS,2022-03-01,0.03,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,7.3,2022,2022-03,243.33333333333334,243.33333333333334,2022
COINTAB,2022-03-01,0.08,33.22,0.0,0.0,0.0,0.0,0.0,0.0,0.08,33.22,2022,2022-03,415.25,415.25,2022
CRED,2022-03-01,12.11,16136.11,0.0,0.0,0.0,0.0,0.0,0.0,12.11,16136.11,2022,2022-03,1332.4616019818334,1332.4616019818334,2022
DBS DIGIBANK APPS,2022-03-01,0.49,185.52,0.0,0.0,0.0,0.0,0.0,0.0,0.49,185.52,2022,2022-03,378.6122448979592,378.6122448979592,2022
DENA BANK APPS,2022-03-01,0.02,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.02,29.32,2022,2022-03,1466.0,1466.0,2022
DEUTSCHE BANK APPS,2022-03-01,1.02,91.66,0.0,0.0,0.0,1.36,0.0,0.0,1.02,93.02,2022,2022-03,91.19607843137254,91.19607843137254,2022
DHANLAXMI BANK APPS,2022-03-01,0.01,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.29,2022,2022-03,329.0,329.0,2022
FAVE,2022-03-01,0.37,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,13.0,2022,2022-03,35.13513513513514,35.13513513513514,2022
FEDERAL BANK APPS,2022-03-01,2.45,360.96,0.0,0.0,0.0,0.0,0.0,0.0,2.45,360.96,2022,2022-03,147.33061224489794,147.33061224489794,2022
FINO PAYMENTS BANK APPS,2022-03-01,0.04,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.04,3.47,2022,2022-03,86.75,86.75,2022
FINSERV MARKETS,2022-03-01,0.03,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.49,2022,2022-03,49.66666666666667,49.66666666666667,2022
FINSHELL PAY,2022-03-01,0.08,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.0,2022,2022-03,50.0,50.0,2022
GOIBIBO,2022-03-01,0.02,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.91,2022,2022-03,295.5,295.5,2022
GOOGLE PAY,2022-03-01,1838.12,580253.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.12,580253.0,2022,2022-03,315.6774312884904,315.6774312884904,2022
GROWW,2022-03-01,0.83,472.71,0.0,0.0,0.0,0.0,0.0,0.0,0.83,472.71,2022,2022-03,569.5301204819277,569.5301204819277,2022
HDFC BANK APPS,2022-03-01,5.45,1624.54,0.0,0.0,0.0,0.0,0.0,0.0,5.45,1624.54,2022,2022-03,298.0807339449541,298.0807339449541,2022
HSBC BANK APPS,2022-03-01,0.1,61.85,0.0,0.16,0.0,0.0,0.0,0.0,0.1,62.0,2022,2022-03,620.0,620.0,2022
ICICI BANK APPS,2022-03-01,31.49,10304.08,3.65,234.61,0.0,0.0,0.0,0.0,35.13,10538.69,2022,2022-03,299.9911756333618,299.9911756333618,2022
IDBI BANK APPS,2022-03-01,0.03,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.03,16.25,2022,2022-03,541.6666666666667,541.6666666666667,2022
IDFC BANK APPS,2022-03-01,2.7,534.56,0.0,0.0,0.0,0.0,0.0,0.0,2.7,534.56,2022,2022-03,197.98518518518514,197.98518518518514,2022
INDIA POST PAYMENTS BANK APPS,2022-03-01,2.95,321.14,0.0,0.0,0.0,0.0,0.0,0.0,2.95,321.14,2022,2022-03,108.86101694915253,108.86101694915253,2022
INDIAN BANK APPS,2022-03-01,0.11,42.26,0.0,0.0,0.0,0.0,0.0,0.0,0.11,42.26,2022,2022-03,384.1818181818182,384.1818181818182,2022
INDIAN OVERSEAS BANK APPS,2022-03-01,0.01,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.62,2022,2022-03,162.0,162.0,2022
INDUSIND BANK APPS,2022-03-01,1.03,2252.3,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2252.3,2022,2022-03,2186.6990291262136,2186.6990291262136,2022
JAMMU AND KASHMIR BANK APPS,2022-03-01,0.01,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.15,2022,2022-03,215.0,215.0,2022
JANATA SAHAKARI BANK APPS,2022-03-01,0.01,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.51,2022,2022-03,450.99999999999994,450.99999999999994,2022
JIO PAYMENTS BANK APPS,2022-03-01,2.27,129.5,0.0,0.0,0.0,0.0,0.0,0.0,2.27,129.5,2022,2022-03,57.048458149779734,57.048458149779734,2022
JUPITER,2022-03-01,1.32,164.8,0.0,0.0,0.0,0.0,0.0,0.0,1.32,164.8,2022,2022-03,124.84848484848484,124.84848484848484,2022
KARNATAKA BANK APPS,2022-03-01,0.3,37.96,0.0,0.0,0.0,0.0,0.0,0.0,0.3,37.96,2022,2022-03,126.53333333333335,126.53333333333335,2022
KARUR VYSYA BANK APPS,2022-03-01,0.04,18.29,0.0,0.0,0.0,0.0,0.0,0.0,0.04,18.29,2022,2022-03,457.24999999999994,457.24999999999994,2022
